customer_id,name,email,phone,location,sign_up_date
CUST001,Customer 1,customer1@example.com,555-0101,,2025-04-08
CUST002,Customer 2,customer2@example.com,555-0102,Austin,2025-10-18
CUST003,Customer 3,customer3@example.com,555-0103,Austin,2026-05-31
CUST004,Customer 4,customer4@example.com,555-0104,London,2026-02-23
CUST005,Customer 5,customer5@example.com,555-0105,,2025-08-16
CUST006,Customer 6,customer6@example.com,555-0106,Berlin,2025-02-14
CUST007,Customer 7,customer7@example.com,555-0107,London,2024-12-05
CUST008,,customer8@example.com,555-0108,New York,2025-04-11
CUST009,Customer 9,customer9@example.com,555-0109,San Francisco,2025-06-14
CUST010,Customer 10,customer10@example.com,555-0110,Austin,2026-02-05
CUST011,Customer 11,customer11@example.com,555-0111,Toronto,2025-09-17
CUST012,Customer 12,customer12@example.com,555-0112,New York,2026-01-04
CUST013,Customer 13,customer13@example.com,555-0113,Toronto,2025-10-22
CUST014,Customer 14,customer14@example.com,555-0114,San Francisco,2025-04-05
CUST015,Customer 15,customer15@example.com,555-0115,,2025-03-15
CUST016,Customer 16,customer16@example.com,555-0116,Austin,2024-12-12
CUST017,Customer 17,customer17@example.com,555-0117,San Francisco,2024-11-18
CUST018,Customer 18,customer18@example.com,555-0118,Austin,2025-03-11
 CUST019 ,Customer 19,customer19@example.com,555-0119,Berlin,2025-05-07
CUST020,Customer 20,customer20@example.com,555-0120,Berlin,2026-01-04
CUST021,Customer 21,customer21@example.com,555-0121,Toronto,2026-02-13
CUST022,Customer 22,customer22@example.com,555-0122,San Francisco,2025-12-10
CUST023,Customer 23,customer23@example.com,555-0123,,2024-11-01
CUST024,Customer 24,customer24@example.com,555-0124,New York,2024-11-12
CUST025,Customer 25,customer25@example.com,555-0125,Berlin,2024-09-30
cust026,Customer 26,customer26@example.com,555-0126,Berlin,2024-11-12
CUST027,Customer 27,customer27@example.com,555-0127,Toronto,2024-11-05
CUST028,Customer 28,customer28@example.com,555-0128,Sydney,2025-06-13
CUST029,Customer 29,customer29@example.com,555-0129,Austin,2024-12-11
CUST030,Customer 30,customer30@example.com,555-0130,Sydney,2026-03-02
CUST031,Customer 31,customer31@example.com,555-0131,Sydney,2026-05-05
CUST032,Customer 32,customer32@example.com,555-0132,Toronto,2025-07-10
CUST033,Customer 33,customer33@example.com,555-0133,San Francisco,2026-01-12
CUST034,Customer 34,customer34@example.com,555-0134,Berlin,2025-06-27
CUST035,Customer 35,customer35@example.com,555-0135,Toronto,2026-06-07
CUST036,Customer 36,customer36@example.com,555-0136,London,2025-11-03
CUST037,Customer 37,customer37@example.com,555-0137,Toronto,2026-04-30
CUST038,Customer 38,customer38@example.com,555-0138,New York,2026-04-12
CUST039,Customer 39,customer39@example.com,555-0139,Austin,2024-12-10
CUST040,Customer 40,customer40@example.com,555-0140,New York,2025-07-01
CUST041,Customer 41,customer41@example.com,555-0141,Toronto,2024-10-05
CUST042,Customer 42,customer42@example.com,555-0142,London,2026-02-03
CUST043,Customer 43,customer43@example.com,555-0143,London,2025-04-17
CUST044,Customer 44,customer44@example.com,555-0144,,2026-02-21
CUST045,Customer 45,customer45@example.com,555-0145,San Francisco,2024-10-21
CUST046,Customer 46,customer46@example.com,555-0146,Sydney,2024-07-25
CUST047,Customer 47,customer47@example.com,555-0147,Berlin,2024-12-20
CUST048,Customer 48,customer48@example.com,555-0148,Berlin,2025-04-05
CUST049,,customer49@example.com,555-0149,San Francisco,2024-08-14
CUST050,Customer 50,customer50@example.com,555-0150,San Francisco,2026-05-15
CUST051,Customer 51,customer51@example.com,555-0151,Berlin,2024-10-03
CUST052,Customer 52,customer52@example.com,555-0152,Austin,2025-11-05
CUST053,Customer 53,customer53@example.com,555-0153,Berlin,2025-06-19
CUST054,Customer 54,customer54@example.com,555-0154,,2024-08-16
CUST055,Customer 55,customer55@example.com,555-0155,Sydney,2025-09-14
CUST056,Customer 56,customer56@example.com,555-0156,New York,2025-12-03
CUST057,Customer 57,customer57@example.com,555-0157,San Francisco,2025-11-10
CUST058,,customer58@example.com,555-0158,Berlin,2026-02-12
CUST059,Customer 59,customer59@example.com,555-0159,,2024-10-19
CUST060,Customer 60,customer60@example.com,555-0160,Toronto,2025-03-20
CUST061,Customer 61,customer61@example.com,555-0161,Toronto,2025-12-17
CUST062,Customer 62,customer62@example.com,555-0162,Toronto,2025-09-17
CUST063,Customer 63,customer63@example.com,555-0163,San Francisco,2025-03-14
CUST064,Customer 64,customer64@example.com,555-0164,New York,2024-12-29
CUST065,Customer 65,customer65@example.com,555-0165,London,2025-09-29
CUST066,Customer 66,customer66@example.com,555-0166,London,2025-01-04
CUST067,Customer 67,customer67@example.com,555-0167,Toronto,2024-10-18
CUST068,Customer 68,customer68@example.com,555-0168,San Francisco,2025-06-19
cust069,Customer 69,customer69@example.com,555-0169,San Francisco,2025-02-12
CUST070,Customer 70,customer70@example.com,555-0170,New York,2024-09-29
CUST071,Customer 71,customer71@example.com,555-0171,Austin,2026-01-14
CUST072,Customer 72,customer72@example.com,555-0172,London,2024-12-16
CUST073,Customer 73,customer73@example.com,555-0173,Austin,2025-07-14
CUST074,Customer 74,customer74@example.com,555-0174,Berlin,2025-10-10
CUST075,Customer 75,customer75@example.com,555-0175,Berlin,2026-03-21
CUST076,Customer 76,customer76@example.com,555-0176,San Francisco,2026-04-24
CUST077,Customer 77,customer77@example.com,555-0177,San Francisco,2026-05-29
CUST078,Customer 78,customer78@example.com,555-0178,Toronto,2025-04-13
CUST079,Customer 79,customer79@example.com,555-0179,Austin,2025-02-21
CUST080,Customer 80,customer80@example.com,555-0180,,2025-07-12
CUST081,Customer 81,customer81@example.com,555-0181,Austin,2026-05-03
CUST082,Customer 82,customer82@example.com,555-0182,New York,2026-05-11
CUST083,Customer 83,customer83@example.com,555-0183,London,2024-10-30
CUST084,Customer 84,customer84@example.com,555-0184,Toronto,2025-04-02
cust085,Customer 85,customer85@example.com,555-0185,New York,2025-01-26
CUST086,Customer 86,customer86@example.com,555-0186,Sydney,2025-05-09
CUST087,Customer 87,customer87@example.com,555-0187,,2025-02-11
cust088,Customer 88,customer88@example.com,555-0188,Berlin,2024-12-22
CUST089,Customer 89,customer89@example.com,555-0189,Toronto,2025-05-28
CUST090,Customer 90,customer90@example.com,555-0190,New York,2025-04-04
CUST091,Customer 91,customer91@example.com,555-0191,Toronto,2025-11-04
CUST092,Customer 92,customer92@example.com,555-0192,Sydney,2026-02-05
CUST093,Customer 93,customer93@example.com,555-0193,Austin,2025-08-01
CUST094,Customer 94,customer94@example.com,555-0194,San Francisco,2026-05-04
CUST095,Customer 95,customer95@example.com,555-0195,Berlin,2024-09-29
CUST096,Customer 96,customer96@example.com,555-0196,Berlin,2024-10-09
CUST097,Customer 97,customer97@example.com,555-0197,London,2025-08-07
CUST098,Customer 98,customer98@example.com,555-0198,London,2025-01-23
CUST099,Customer 99,customer99@example.com,555-0199,Sydney,2025-04-18
CUST100,Customer 100,customer100@example.com,555-01100,,2024-08-16
CUST101,Customer 101,customer101@example.com,555-01101,San Francisco,2025-12-26
CUST102,Customer 102,customer102@example.com,555-01102,Austin,2024-07-26
CUST103,Customer 103,customer103@example.com,555-01103,Sydney,2025-06-28
CUST104,Customer 104,customer104@example.com,555-01104,London,2025-04-18
CUST105,,customer105@example.com,555-01105,New York,2024-08-29
CUST106,Customer 106,customer106@example.com,555-01106,Austin,2025-04-24
CUST107,Customer 107,customer107@example.com,555-01107,Toronto,2026-02-03
CUST108,Customer 108,customer108@example.com,555-01108,Austin,2025-09-08
CUST109,Customer 109,customer109@example.com,555-01109,Berlin,2026-05-04
CUST110,Customer 110,customer110@example.com,555-01110,,2024-12-07
CUST111,Customer 111,customer111@example.com,555-01111,Toronto,2025-12-16
 CUST112 ,Customer 112,customer112@example.com,555-01112,New York,2025-01-30
CUST113,Customer 113,customer113@example.com,555-01113,Berlin,2025-02-13
CUST114,Customer 114,customer114@example.com,555-01114,New York,2024-09-27
 CUST115 ,,customer115@example.com,555-01115,New York,2025-11-16
CUST116,Customer 116,customer116@example.com,555-01116,Austin,2025-01-18
CUST117,Customer 117,customer117@example.com,555-01117,New York,2026-01-19
CUST118,Customer 118,customer118@example.com,555-01118,New York,2026-04-09
 CUST119 ,Customer 119,customer119@example.com,555-01119,Austin,2025-08-29
 CUST120 ,Customer 120,customer120@example.com,555-01120,Berlin,2026-04-05
CUST121,Customer 121,customer121@example.com,555-01121,New York,2026-06-04
CUST122,Customer 122,customer122@example.com,555-01122,Sydney,2024-08-01
CUST123,Customer 123,customer123@example.com,555-01123,Austin,2025-11-01
CUST124,,customer124@example.com,555-01124,Berlin,2025-12-16
CUST125,Customer 125,customer125@example.com,555-01125,London,2025-08-26
CUST126,Customer 126,customer126@example.com,555-01126,Sydney,2025-05-03
CUST127,Customer 127,customer127@example.com,555-01127,,2026-01-27
CUST128,Customer 128,customer128@example.com,555-01128,Austin,2026-04-24
CUST129,Customer 129,customer129@example.com,555-01129,Toronto,2024-11-24
CUST130,Customer 130,customer130@example.com,555-01130,London,2025-03-31
CUST131,,customer131@example.com,555-01131,Sydney,2025-12-20
CUST132,Customer 132,customer132@example.com,555-01132,New York,2025-12-28
CUST133,Customer 133,customer133@example.com,555-01133,Austin,2025-06-07
CUST134,Customer 134,customer134@example.com,555-01134,,2024-11-29
